Scientific name,Genus,Species,Latitude,Longitude,,,,,,
Cottus_carolinae,Cottus,carolinae,35.144783,-83.3098,,,,,,
Cottus_carolinae,Cottus,carolinae,35.4721,-83.314,,,,,,
Cottus_carolinae,Cottus,carolinae,34.93861,-83.38917,,,,,,
Cottus_carolinae,Cottus,carolinae,35.15805,-83.39167,,,,,,
Cottus_carolinae,Cottus,carolinae,35.24778,-83.39667,,,,,,
Cottus_carolinae,Cottus,carolinae,35.73944,-83.41611,,,,,,
Cottus_carolinae,Cottus,carolinae,35.73944,-83.41611,,,,,,
Cottus_carolinae,Cottus,carolinae,36.55111,-83.42639,,,,,,
Cottus_carolinae,Cottus,carolinae,36.558613,-83.42778,,,,,,
Cottus_carolinae,Cottus,carolinae,36.4676,-83.4376,,,,,,
Cottus_carolinae,Cottus,carolinae,34.86722,-83.47833,,,,,,
Cottus_carolinae,Cottus,carolinae,35.86972,-83.49805,,,,,,
Cottus_carolinae,Cottus,carolinae,35.865,-83.50694,,,,,,
Cottus_carolinae,Cottus,carolinae,35.8675,-83.5159,,,,,,
Cottus_carolinae,Cottus,carolinae,36.4233,-83.5231,,,,,,
Cottus_carolinae,Cottus,carolinae,36.4233,-83.5231,,,,,,
Cottus_carolinae,Cottus,carolinae,36.42389,-83.52361,,,,,,
Cottus_carolinae,Cottus,carolinae,36.608334,-83.55556,,,,,,
Cottus_carolinae,Cottus,carolinae,36.608334,-83.55556,,,,,,
Cottus_carolinae,Cottus,carolinae,36.608334,-83.55556,,,,,,
Cottus_carolinae,Cottus,carolinae,35.87,-83.5675,,,,,,
Cottus_carolinae,Cottus,carolinae,36.566666,-83.61584,,,,,,
Cottus_carolinae,Cottus,carolinae,36.61712,-83.61743,,,,,,
Cottus_carolinae,Cottus,carolinae,36.54083,-83.63167,,,,,,
Cottus_carolinae,Cottus,carolinae,36.52306,-83.68584,,,,,,
Cottus_carolinae,Cottus,carolinae,36.51583,-83.68694,,,,,,
Cottus_carolinae,Cottus,carolinae,35.22417,-83.74472,,,,,,
Cottus_carolinae,Cottus,carolinae,35.22417,-83.74472,,,,,,
Cottus_carolinae,Cottus,carolinae,35.67972,-83.77917,,,,,,
Cottus_carolinae,Cottus,carolinae,34.61361,-83.79028,,,,,,
Cottus_carolinae,Cottus,carolinae,34.61361,-83.79028,,,,,,
Cottus_carolinae,Cottus,carolinae,35.82944,-83.80278,,,,,,
Cottus_carolinae,Cottus,carolinae,35.69778,-83.80695,,,,,,
