Scientific name,Latitude,Longitude
,38.9384,-83.0374
,39.0336,-83.0447
,39.0336,-83.0447
,39.0111,-83.0528
,39.0111,-83.0528
,39.702,-83.1108
,39.702,-83.1108
,39.702,-83.1108
,39.702,-83.1108
,39.702,-83.1108
,39.702,-83.1108
,39.3078,-83.1161
,39.3078,-83.1161
,39.5797,-83.1225
,39.5797,-83.1225
,39.3036,-83.1317
,39.3036,-83.1317
,39.7628,-83.1506
,39.7628,-83.1506
,39.2614,-83.1683
,39.2614,-83.1683
,39.2614,-83.1683
,39.2614,-83.1683
,39.8022,-83.1694
,39.8022,-83.1694
,39.8917,-83.2167
,39.8917,-83.2167
,39.2361,-83.2869
,39.2361,-83.2869
,38.6856,-83.5841
,38.6856,-83.5841
,39.5975,-83.9583
,39.5975,-83.9583
,39.0894,-84.1908
,39.0894,-84.1908
,39.1475,-84.2586
,39.1475,-84.2586
,39.1617,-84.2819
,39.1617,-84.2819
,39.3167,-84.3096
,39.3167,-84.3096
,39.2131,-84.3136
,39.2131,-84.3136
,39.1375,-84.3545
,39.1375,-84.3545
,39.0758,-84.4311
,39.0758,-84.4311
,39.3319,-84.6114
,39.3319,-84.6114
,39.2944,-84.6656
,39.2944,-84.6656
,39.2028,-84.7494
,39.2028,-84.7494
,39.1656,-84.7606
,39.1656,-84.7606
,39.1605,-84.7657
,39.1605,-84.7657
,39.1661,-84.7881
,39.1661,-84.7881
,39.25,-84.8208
,39.3667,-84.95
,39.3667,-84.95
,38.976944,-85.901665
,38.95,-85.9333
,38.95,-85.9333
,38.6667,-86.7833
,38.6667,-86.7833
,39.5833,-86.95
,39.5833,-86.95
,39.6333,-87.4333
,39.6333,-87.4333
,39.95,-87.4667
,39.95,-87.4667
,38.55,-87.6667
,38.55,-87.6667
,38.2333,-87.95
,38.133335,-87.95
,38.2333,-87.95
,42.4024,-89.1993
,42.4024,-89.1993
,42.018333,-89.32889
,37.5021,-89.4992
,42.493,-89.7898
,42.493,-89.7898
,39.807,-89.9947
,39.807,-89.9947
,41.4641,-90.3623
,41.4641,-90.3623
,38.5465,-90.4949
,37.9269,-90.5017
,38.5039,-90.5909
,38.2769,-90.6474
,38.2769,-90.6477
,36.48472,-90.76945
,36.4875,-90.77
,36.4875,-90.77
,36.46167,-90.77361
,36.33694,-90.81
,36.29861,-90.85833
,36.29861,-90.85833
,36.29861,-90.85833
,36.29833,-90.85833
,36.29861,-90.85833
,38.203484,-91.09842
,38.20348,-91.09842
,37.9746,-91.2043
,36.22487,-91.25055
,36.22487,-91.25055
,36.2247,-91.2508
,35.63972,-91.3225
,35.63833,-91.33305
,37.9984,-91.3594
,35.63861,-91.43111
,35.65278,-91.46056
,35.65278,-91.46056
,35.64333,-91.48833
,35.74917,-91.558334
,35.7575,-91.63722
,35.7575,-91.63722
,35.7569,-91.6394
,35.75861,-91.64111
,35.76083,-91.64861
,35.76083,-91.64861
,38.6822,-91.7706
,38.3933,-91.82
,38.3933,-91.82
,38.14667,-91.88194
,39.5667,-91.9167
,39.5667,-91.9167
,37.3634,-91.969
,37.91972,-91.97556
,38.4333,-91.9833
,38.4333,-91.9833
,37.55,-92.0167
,37.55,-92.0167
,37.5662,-92.0266
,38.55958,-92.055695
,38.3706,-92.1689
,38.3706,-92.1689
,38.4211,-92.2088
,38.4211,-92.2088
,38.2772,-92.2333
,38.2772,-92.2333
,38.5233,-92.2628
,38.5233,-92.2628
,38.2147,-92.2756
,38.2147,-92.2756
,37.6283,-92.3286
,37.6283,-92.3286
,37.4,-92.4
,37.4,-92.4
,34.3192,-92.5874
,38.6667,-92.9667
,38.6667,-92.9667
,38.7281,-92.9772
,38.7281,-92.9772
,37.51972,-92.98306
,38.0381,-93.0025
,38.0381,-93.0025
,34.190556,-93.03
,38.8333,-93.0333
,38.8333,-93.0333
,37.9456,-93.3101
,34.2833,-93.4167
,34.2833,-93.4167
,34.3831,-93.6057
,37.22889,-94.45389
,37.2667,-94.5
,37.2667,-94.5
,36.12972,-94.57139
,36.12601,-94.58913
,37.0336,-94.6174
,37.0335,-94.6179
,37.2003,-94.6224
,37.1857,-94.6224
,37.1857,-94.6406
,37.1857,-94.6406
,37.0405,-94.6406
,37.1857,-94.6406
,37.1857,-94.6406
,37.0405,-94.6406
,37.1857,-94.6406
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,34.042,-94.643
,37.185833,-94.64555
,37.0559,-94.7041
,37.0002,-94.7128
,37.0239,-94.7216
,36.1305,-94.7962
,36.1217,-94.806
,36.0957,-94.8291
,36.0957,-94.8291
,36.0957,-94.8291
,36.0957,-94.8291
,36.0957,-94.8291
,36.9291,-94.9586
,35.5941,-95.0327
,37.1697,-95.0622
,37.0405,-95.0768
,37.0405,-95.0768
,37.0405,-95.0768
,37.0405,-95.0768
,35.5016,-95.0928
