Scientific name,Genus,Species,Latitude,Longitude
Erimystax_insignis,Erimystax,insignis,35.5867,-86.7845
Erimystax_insignis,Erimystax,insignis,35.5867,-86.7845
Erimystax_insignis,Erimystax,insignis,35.61,-86.8095
Erimystax_insignis,Erimystax,insignis,35.61,-86.8095
Erimystax_insignis,Erimystax,insignis,35.6089,-86.8239
Erimystax_insignis,Erimystax,insignis,35.6089,-86.8239
Erimystax_insignis,Erimystax,insignis,35.04613,-86.88893
Erimystax_insignis,Erimystax,insignis,35.04613,-86.88893
Erimystax_insignis,Erimystax,insignis,35.6094,-86.8947
Erimystax_insignis,Erimystax,insignis,35.6094,-86.8947
Erimystax_insignis,Erimystax,insignis,36.12333,-87.09917
Erimystax_insignis,Erimystax,insignis,36.085278,-87.131386
Erimystax_insignis,Erimystax,insignis,35.10833,-87.50333
Erimystax_insignis,Erimystax,insignis,35.455276,-87.53972
Erimystax_insignis,Erimystax,insignis,34.95361,-87.59333
Erimystax_insignis,Erimystax,insignis,34.946945,-87.59583
Erimystax_insignis,Erimystax,insignis,34.980278,-87.59639
Erimystax_insignis,Erimystax,insignis,34.98588,-87.61545
Erimystax_insignis,Erimystax,insignis,34.98588,-87.61545
Erimystax_insignis,Erimystax,insignis,35.46585,-87.84745
Erimystax_insignis,Erimystax,insignis,35.46585,-87.84745
